číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,Navrhující strana,Politická příslušnost,hlasy abs.,hlasy %,Mandát,Pořadí
1,SNK ED,1,Kroupa Daniel  Mgr. Ph.D.,65,SNK ED,BEZPP,2 192,"27,53",-,-
1,SNK ED,2,Sedláčková Olga  Mgr. MBA,51,SNK ED,SNK ED,203,"2,54",-,-
1,SNK ED,3,Vlk Radoslav  Mgr. Ph.D.,39,SNK ED,SNK ED,224,"2,81",-,-
1,SNK ED,4,Halanová Květa  Mgr.,55,SNK ED,SNK ED,152,"1,90",-,-
1,SNK ED,5,Witzany Jiří  Doc. RNDr. Ph.D.,48,SNK ED,SNK ED,554,"6,95",-,-
1,SNK ED,6,Živný René,40,SNK ED,SNK ED,183,"2,29",-,-
1,SNK ED,7,Sýkorová Salome  Ing.,50,SNK ED,SNK ED,115,"1,44",-,-
1,SNK ED,8,Dvořák Stanislav  Bc. DiS.,32,SNK ED,BEZPP,56,"0,70",-,-
1,SNK ED,9,Novotný František  PhDr.,70,SNK ED,BEZPP,151,"1,89",-,-
1,SNK ED,10,Neděla Dalibor  Ing.,43,SNK ED,SNK ED,60,"0,75",-,-
1,SNK ED,11,Sejček Miroslav  Ing.,59,SNK ED,SNK ED,39,"0,48",-,-
1,SNK ED,12,Šichnárek František,67,SNK ED,SNK ED,67,"0,84",-,-
1,SNK ED,13,Míková Libuše  Ing. et Bc.,29,SNK ED,BEZPP,87,"1,09",-,-
1,SNK ED,14,Šamánek Radko  Ing.,58,SNK ED,SNK ED,56,"0,70",-,-
1,SNK ED,15,Béguivin Alan  Mgr.,39,SNK ED,SNK ED,23,"0,28",-,-
1,SNK ED,16,Zábranská Pavlína  Mgr.,36,SNK ED,SNK ED,38,"0,47",-,-
1,SNK ED,17,Miklenda Jaroslav  Ing.,66,SNK ED,SNK ED,64,"0,80",-,-
1,SNK ED,18,Erban Evžen,68,SNK ED,BEZPP,48,"0,60",-,-
1,SNK ED,19,Smolka Pavel  Ing.,47,SNK ED,SNK ED,67,"0,84",-,-
1,SNK ED,20,Šámal Petr,64,SNK ED,SNK ED,20,"0,25",-,-
1,SNK ED,21,Tobolová Olga,55,SNK ED,SNK ED,35,"0,43",-,-
1,SNK ED,22,Drahovzal Jiří  Ing. DiS.,50,SNK ED,SNK ED,15,"0,18",-,-
1,SNK ED,23,Peterková Barbora  Ing. arch.,61,SNK ED,SNK ED,32,"0,40",-,-
1,SNK ED,24,Řezníček Petr  Mgr.,63,SNK ED,SNK ED,109,"1,36",-,-
1,SNK ED,25,Machátová Anna  Bc.,40,SNK ED,BEZPP,71,"0,89",-,-
1,SNK ED,26,Jiroušek Josef,46,SNK ED,SNK ED,16,"0,20",-,-
1,SNK ED,27,Piškula Dymo  Ing.,47,SNK ED,SNK ED,48,"0,60",-,-
1,SNK ED,28,Dohnálek Helmut,48,SNK ED,SNK ED,45,"0,56",-,-
2,Koal. SP a NO!,1,Štědroň Radoslav  RNDr.,59,SP,SP,176,"6,07",-,-
2,Koal. SP a NO!,2,Valdmanová Iva,58,SP,BEZPP,152,"5,24",-,-
2,Koal. SP a NO!,3,Kindermannová Marie  PaedDr.,65,NO!,NO!,102,"3,51",-,-
2,Koal. SP a NO!,4,Jelínek Roman  MUDr.,58,SP,BEZPP,116,"4,00",-,-
2,Koal. SP a NO!,5,Štěpánková Lenka,53,NO!,BEZPP,168,"5,79",-,-
2,Koal. SP a NO!,7,Eliáš Aleš  Ing.,62,SP,BEZPP,40,"1,37",-,-
2,Koal. SP a NO!,8,Kindermann Petr,42,NO!,NO!,75,"2,58",-,-
2,Koal. SP a NO!,9,Joukl Zdeněk,73,SP,BEZPP,31,"1,06",-,-
2,Koal. SP a NO!,10,Koudelka Pavel,42,SP,BEZPP,76,"2,62",-,-
2,Koal. SP a NO!,11,Horák Ladislav,65,NO!,BEZPP,18,"0,62",-,-
2,Koal. SP a NO!,12,Havel Vladimír,61,SP,BEZPP,102,"3,51",-,-
2,Koal. SP a NO!,13,Svoboda Břetislav,47,SP,BEZPP,50,"1,72",-,-
2,Koal. SP a NO!,14,Orszulík Josef,83,SP,BEZPP,64,"2,20",-,-
2,Koal. SP a NO!,15,Dvořáčková Věra,67,SP,BEZPP,41,"1,41",-,-
2,Koal. SP a NO!,16,Valenta Miroslav,53,SP,BEZPP,3,"0,10",-,-
2,Koal. SP a NO!,17,Tábořík Radim,54,SP,BEZPP,4,"0,13",-,-
2,Koal. SP a NO!,18,Šach Petr,66,SP,SP,4,"0,13",-,-
3,KAN,1,Poláková Radka  Ing.,48,KAN,BEZPP,222,"9,33",-,-
3,KAN,2,Domlátil Jiří  Ing.,68,KAN,KAN,76,"3,19",-,-
3,KAN,3,Šimková Romana  Bc.,26,KAN,KAN,102,"4,28",-,-
3,KAN,4,Hučín Vladimír,61,KAN,KAN,398,"16,72",-,-
3,KAN,5,Mašínová Zdeňka,80,KAN,BEZPP,298,"12,52",-,-
3,KAN,6,Holba Pavel  Ing. CSc.,73,KAN,KAN,60,"2,52",-,-
3,KAN,7,Hinojosa Daniela  PaedDr.,49,KAN,BEZPP,18,"0,75",-,-
3,KAN,8,Protiva Karel  MUDr.,62,KAN,KAN,67,"2,81",-,-
3,KAN,9,Přibíková Natalie  Ing. MA,73,KAN,BEZPP,16,"0,67",-,-
3,KAN,10,Horváth Zbyněk,44,KAN,BEZPP,42,"1,76",-,-
3,KAN,11,Čumpelík Jiří,68,KAN,KAN,11,"0,46",-,-
3,KAN,12,Vadas Martin  Mgr.,60,KAN,BEZPP,61,"2,56",-,-
3,KAN,13,Bíro Barnabáš,68,KAN,KAN,16,"0,67",-,-
3,KAN,14,Dufek Marek  JUDr. Ing.,41,KAN,BEZPP,48,"2,01",-,-
3,KAN,15,Matějka Miroslav  Ing.,47,KAN,KAN,46,"1,93",-,-
3,KAN,16,Rezek Jiří  Mgr.,62,KAN,BEZPP,42,"1,76",-,-
3,KAN,17,"Šesták Jaroslav  Prof. Ing. DrSc., Dr.h.c.",75,KAN,BEZPP,43,"1,80",-,-
3,KAN,18,Vlášek Josef,80,KAN,KAN,15,"0,63",-,-
3,KAN,19,Navara David  Mgr.,37,KAN,BEZPP,51,"2,14",-,-
3,KAN,20,Kříž Vladimír  PhDr.,62,KAN,BEZPP,15,"0,63",-,-
3,KAN,21,Šikula Jaroslav  JUDr.,68,KAN,BEZPP,17,"0,71",-,-
3,KAN,22,Bláha Alois  Ing.,62,KAN,BEZPP,8,"0,33",-,-
3,KAN,23,Kolář Josef  Ing.,71,KAN,KAN,10,"0,42",-,-
3,KAN,24,Slánská Jana  Ing. Mgr.,71,KAN,BEZPP,21,"0,88",-,-
3,KAN,25,Kvíz Rudolf,74,KAN,BEZPP,14,"0,58",-,-
3,KAN,26,Kopřivová Anastazie,78,KAN,BEZPP,7,"0,29",-,-
3,KAN,27,Fiala Jaroslav  Prof. RNDr. CSc.,74,KAN,BEZPP,12,"0,50",-,-
3,KAN,28,Konzal Václav,82,KAN,BEZPP,5,"0,21",-,-
4,ND,1,Bartoš Adam Benjamin,34,ND,ND,710,"9,98",-,-
4,ND,2,Solis Daniel  Lic. LL.M.,46,ND,BEZPP,1 086,"15,27",-,-
4,ND,3,Skácel Jan  Mgr.,79,ND,ČHNJ,94,"1,32",-,-
4,ND,4,Hibsch David,43,ND,BEZPP,171,"2,40",-,-
4,ND,5,Červenka František,48,ND,ND,58,"0,81",-,-
4,ND,6,Zemánek Ladislav,21,ND,ND,102,"1,43",-,-
4,ND,7,Žák Petr,60,ND,ND,44,"0,61",-,-
4,ND,8,Kaláb Tomáš  RNDr.,43,ND,ND,37,"0,52",-,-
4,ND,9,Lhoták Radim,61,ND,BEZPP,23,"0,32",-,-
4,ND,10,Hamet Tomáš,46,ND,ND,40,"0,56",-,-
4,ND,11,Kretschmer Michal,70,ND,BEZPP,109,"1,53",-,-
4,ND,12,Gryc Roman  Mgr.,43,ND,BEZPP,68,"0,95",-,-
4,ND,13,Fikarová Jindřiška  RNDr.,69,ND,ND,36,"0,50",-,-
4,ND,14,Skalský Vít  Bc.,40,ND,ND,32,"0,45",-,-
4,ND,15,Eybl Tomáš,33,ND,BEZPP,43,"0,60",-,-
4,ND,16,Šourek Bohumil,65,ND,BEZPP,32,"0,45",-,-
4,ND,17,Kašpar Jan  Bc.,36,ND,BEZPP,25,"0,35",-,-
4,ND,18,Ladislav František Karel,45,ND,ND,38,"0,53",-,-
4,ND,19,Hucek František,41,ND,BEZPP,17,"0,23",-,-
4,ND,20,Kadlečík Martin  Ing.,34,ND,BEZPP,42,"0,59",-,-
4,ND,21,Papazian Valentin  Ing.,45,ND,BEZPP,65,"0,91",-,-
4,ND,22,Křivka Pavel  Ing. MSc.,53,ND,BEZPP,67,"0,94",-,-
4,ND,23,Cícha Ivan  Ing.,52,ND,BEZPP,20,"0,28",-,-
4,ND,24,Krejča František  PhDr.,60,ND,BEZPP,20,"0,28",-,-
4,ND,25,Vostřel Petr,35,ND,BEZPP,36,"0,50",-,-
4,ND,26,Ručka Petr,49,ND,BEZPP,1,"0,01",-,-
4,ND,27,Krejčí Aleš  Ing. arch.,41,ND,BEZPP,20,"0,28",-,-
4,ND,28,Chvorinov Michal,43,ND,BEZPP,2,"0,02",-,-
5,KDU-ČSL,1,"Svoboda Pavel  Doc. JUDr. Ph.D., D.E.A.",52,KDU-ČSL,KDU-ČSL,21 746,"14,42",*,2
5,KDU-ČSL,2,Šojdrová Michaela  Ing.,50,KDU-ČSL,KDU-ČSL,22 220,"14,73",*,1
5,KDU-ČSL,3,Zdechovský Tomáš  Mgr.,34,KDU-ČSL,KDU-ČSL,5 063,"3,35",*,3
5,KDU-ČSL,4,Hulicius Eduard  Mgr. MA,33,KDU-ČSL,KDU-ČSL,4 926,"3,26",-,1
5,KDU-ČSL,5,Jílková Marie  Mgr.,36,KDU-ČSL,KDU-ČSL,1 985,"1,31",-,2
5,KDU-ČSL,6,Přádka Miroslav  Ing. MUDr. Ph.D.,44,KDU-ČSL,KDU-ČSL,2 141,"1,41",-,3
5,KDU-ČSL,7,Jirsa Jiří  Mgr.,34,KDU-ČSL,KDU-ČSL,1 350,"0,89",-,4
5,KDU-ČSL,8,Šustr Pavel  Ing.,58,KDU-ČSL,KDU-ČSL,967,"0,64",-,5
5,KDU-ČSL,9,Vysloužil Petr  Mgr. Ing.,44,KDU-ČSL,KDU-ČSL,1 067,"0,70",-,6
5,KDU-ČSL,10,Hladík Petr  Mgr.,29,KDU-ČSL,KDU-ČSL,5 021,"3,32",-,7
5,KDU-ČSL,11,Novotný Jan  Bc.,23,KDU-ČSL,KDU-ČSL,2 448,"1,62",-,8
5,KDU-ČSL,12,Odstrčilová Zdislava  Mgr.,47,KDU-ČSL,KDU-ČSL,1 939,"1,28",-,9
5,KDU-ČSL,13,Heller Šimon  Bc.,26,KDU-ČSL,KDU-ČSL,1 698,"1,12",-,10
5,KDU-ČSL,14,"Budil Ivo  Prof. doc. RNDr. Ph.D., DSc.",48,KDU-ČSL,BEZPP,851,"0,56",-,11
5,KDU-ČSL,15,Kumstýřová Zdenka  Ing. Bc.,44,KDU-ČSL,KDU-ČSL,777,"0,51",-,12
5,KDU-ČSL,16,Vencl Jiří  Ing. Ph.D.,52,KDU-ČSL,KDU-ČSL,284,"0,18",-,13
5,KDU-ČSL,17,Svoboda Tomáš  PhDr. Bc. Ph.D.,40,KDU-ČSL,KDU-ČSL,405,"0,26",-,14
5,KDU-ČSL,18,John František  RNDr. Mgr. Ph.D.,36,KDU-ČSL,KDU-ČSL,1 195,"0,79",-,15
5,KDU-ČSL,19,Hořínek Michal  Mgr.,37,KDU-ČSL,KDU-ČSL,692,"0,45",-,16
5,KDU-ČSL,20,Haverová Martina  JUDr.,51,KDU-ČSL,KDU-ČSL,195,"0,12",-,17
5,KDU-ČSL,21,Holejšovský Josef  MVDr. Ph.D.,70,KDU-ČSL,BEZPP,629,"0,41",-,18
5,KDU-ČSL,22,Málek Jan  Mgr. et Mgr.,28,KDU-ČSL,KDU-ČSL,562,"0,37",-,19
5,KDU-ČSL,23,Adensamová Fay  Bc.,24,KDU-ČSL,KDU-ČSL,173,"0,11",-,20
5,KDU-ČSL,24,Ulrych Vít  MUDr.,41,KDU-ČSL,KDU-ČSL,417,"0,27",-,21
5,KDU-ČSL,25,Hladký Jan  Mgr. LL.M.,36,KDU-ČSL,KDU-ČSL,173,"0,11",-,22
5,KDU-ČSL,26,Lajkep Tomáš  MUDr. Ph.D.,50,KDU-ČSL,KDU-ČSL,635,"0,42",-,23
5,KDU-ČSL,27,Matek Štěpán,27,KDU-ČSL,BEZPP,135,"0,08",-,24
5,KDU-ČSL,28,Steiner Leo  Mgr.,42,KDU-ČSL,KDU-ČSL,264,"0,17",-,25
6,Rozumní,1,Hannig Petr  Mgr.,68,Rozumní,Rozumní,1 324,"5,35",-,-
6,Rozumní,2,Hodina Aleš  Ing.,41,Rozumní,BEZPP,1 419,"5,73",-,-
6,Rozumní,3,Šmotková Alena  Ing.,47,Rozumní,BEZPP,582,"2,35",-,-
6,Rozumní,4,Janů Jiří  Ing.,59,Rozumní,Rozumní,243,"0,98",-,-
6,Rozumní,5,Lederová Marta  Mgr.,55,Rozumní,BEZPP,485,"1,96",-,-
6,Rozumní,6,Nevečeřalová Věra  Mgr.,59,Rozumní,Rozumní,309,"1,24",-,-
6,Rozumní,7,Somberg Jiří  MUDr.,53,Rozumní,BEZPP,435,"1,75",-,-
6,Rozumní,8,Kandel František  MUDr.,58,Rozumní,BEZPP,298,"1,20",-,-
6,Rozumní,9,Benešová Vítězslava  Mgr.,55,Rozumní,BEZPP,228,"0,92",-,-
6,Rozumní,10,Froňková Dousková Gabriela  Mgr.,43,Rozumní,BEZPP,548,"2,21",-,-
6,Rozumní,11,Chovancová Marta  JUDr. LL.M.,56,Rozumní,BEZPP,279,"1,12",-,-
6,Rozumní,12,Kocman Petr  Ing.,54,Rozumní,BEZPP,134,"0,54",-,-
6,Rozumní,13,Dokoupil Radek  Ing.,44,Rozumní,BEZPP,127,"0,51",-,-
6,Rozumní,14,Hodovalová Renata,45,Rozumní,Rozumní,141,"0,57",-,-
6,Rozumní,15,Figura Martin,42,Rozumní,BEZPP,109,"0,44",-,-
6,Rozumní,16,Fišer Petr,54,Rozumní,Rozumní,97,"0,39",-,-
6,Rozumní,17,Orel Ladislav  Ing.,51,Rozumní,Rozumní,140,"0,56",-,-
6,Rozumní,18,Bartoš Martin,45,Rozumní,BEZPP,82,"0,33",-,-
6,Rozumní,19,Bejdáková Jitka  MUDr.,45,Rozumní,Rozumní,211,"0,85",-,-
6,Rozumní,20,Burešová Eva  MUDr.,35,Rozumní,BEZPP,331,"1,33",-,-
6,Rozumní,21,Lengál Jiří  Ing.,50,Rozumní,BEZPP,87,"0,35",-,-
6,Rozumní,22,Šimčík Pavel,47,Rozumní,Rozumní,75,"0,30",-,-
6,Rozumní,23,Slavík Jiří,40,Rozumní,BEZPP,83,"0,33",-,-
6,Rozumní,24,Petráňová Miloslava,26,Rozumní,BEZPP,134,"0,54",-,-
6,Rozumní,25,Vlček Michal,48,Rozumní,BEZPP,78,"0,31",-,-
6,Rozumní,26,Votoček Jiří,59,Rozumní,BEZPP,211,"0,85",-,-
6,Rozumní,27,Bruna Aleš  Bc.,39,Rozumní,BEZPP,42,"0,16",-,-
6,Rozumní,28,Čížek Jan,27,Rozumní,BEZPP,160,"0,64",-,-
7,"Koal.TOP09,STAN",1,Niedermayer Luděk  RNDr.,48,TOP 09,BEZPP,37 171,"15,37",*,2
7,"Koal.TOP09,STAN",2,Pospíšil Jiří  JUDr.,38,TOP 09,BEZPP,77 724,"32,15",*,1
7,"Koal.TOP09,STAN",3,Polčák Stanislav  JUDr.,34,STAN,STAN,11 997,"4,96",*,4
7,"Koal.TOP09,STAN",4,Šarapatka Bořivoj  prof. Dr. Ing. CSc.,54,TOP 09,TOP 09,4 755,"1,96",-,1
7,"Koal.TOP09,STAN",5,Štětina Jaromír  Ing.,71,TOP 09,BEZPP,18 951,"7,83",*,3
7,"Koal.TOP09,STAN",6,Sršeň Radim  Ing. Ph.D.,34,STAN,STAN,4 894,"2,02",-,2
7,"Koal.TOP09,STAN",7,Czernin Tomáš  Ing.,52,TOP 09,TOP 09,9 061,"3,74",-,3
7,"Koal.TOP09,STAN",8,Majíčková Ivana  Mgr. MBA,53,STAN,BEZPP,1 830,"0,75",-,4
7,"Koal.TOP09,STAN",9,Straka Bohumil  Ing. Bc. Ph.D.,43,TOP 09,TOP 09,5 184,"2,14",-,5
7,"Koal.TOP09,STAN",10,Šanc Ivo  RNDr. CSc.,59,STAN,BEZPP,1 120,"0,46",-,6
7,"Koal.TOP09,STAN",11,Polach Marek  Mgr.,35,TOP 09,TOP 09,1 065,"0,44",-,7
7,"Koal.TOP09,STAN",12,Mikulecký Luděk  Ing. Bc. LL.M.,49,TOP 09,TOP 09,342,"0,14",-,8
7,"Koal.TOP09,STAN",13,Kyliánová Zuzana  Ing.,57,TOP 09,TOP 09,490,"0,20",-,9
7,"Koal.TOP09,STAN",14,Cogan Rudolf  JUDr. Ing. Ph.D.,42,STAN,BEZPP,932,"0,38",-,10
7,"Koal.TOP09,STAN",15,Kočandrle Jiří,49,TOP 09,TOP 09,327,"0,13",-,11
7,"Koal.TOP09,STAN",16,Ifrah Reda  Mgr.,30,TOP 09,TOP 09,544,"0,22",-,12
7,"Koal.TOP09,STAN",17,Pavlíčková Klára  Mgr.,27,TOP 09,TOP 09,731,"0,30",-,13
7,"Koal.TOP09,STAN",18,Burian Michal  Ing. Ph.D.,56,STAN,BEZPP,731,"0,30",-,14
7,"Koal.TOP09,STAN",19,Merta Josef  Ing.,36,TOP 09,TOP 09,220,"0,09",-,15
7,"Koal.TOP09,STAN",20,Velička Tomáš  Bc.,45,TOP 09,TOP 09,142,"0,05",-,16
7,"Koal.TOP09,STAN",21,Bubeníková Ludmila  Ing.,59,STAN,STAN,273,"0,11",-,17
7,"Koal.TOP09,STAN",22,Souček Oldřich  Ing.,47,TOP 09,TOP 09,208,"0,08",-,18
7,"Koal.TOP09,STAN",23,Janoušek Aleš  Mgr.,38,TOP 09,TOP 09,319,"0,13",-,19
7,"Koal.TOP09,STAN",24,Gábor František  Bc.,44,TOP 09,TOP 09,219,"0,09",-,20
7,"Koal.TOP09,STAN",25,Feigler Michal  Mgr.,25,TOP 09,TOP 09,331,"0,13",-,21
7,"Koal.TOP09,STAN",26,Popov Simeon  Mgr.,38,TOP 09,TOP 09,137,"0,05",-,22
7,"Koal.TOP09,STAN",27,"Šigut Zdeněk  PhDr. Mgr. Ph.D., MPH",58,TOP 09,TOP 09,474,"0,19",-,23
7,"Koal.TOP09,STAN",28,Kalousek Josef  Ing.,54,TOP 09,TOP 09,352,"0,14",-,24
8,LES,1,Vicenová Milena  MVDr.,58,LES,BEZPP,1 535,"20,42",-,-
8,LES,2,Haken Roman  Ing. Bc.,51,LES,LES,300,"3,99",-,-
8,LES,3,Sommerová Olga  Doc. MgA.,64,LES,LES,1 657,"22,05",-,-
8,LES,4,Rynda Ivan  PhDr.,61,LES,LES,316,"4,20",-,-
8,LES,5,Jacques Kateřina  PhDr.,42,LES,LES,480,"6,38",-,-
8,LES,6,Hollan Jan  RNDr. Ph.D.,58,LES,LES,207,"2,75",-,-
8,LES,7,Gaillyová Yvonna  RNDr. CSc.,58,LES,BEZPP,189,"2,51",-,-
8,LES,8,Matějka Karel  Ing. CSc.,49,LES,LES,121,"1,61",-,-
8,LES,9,Stehlíková Džamila  MUDr.,52,LES,LES,205,"2,72",-,-
8,LES,10,Balcar Jan  Mgr. Ph.D.,39,LES,LES,101,"1,34",-,-
8,LES,11,Dejmalová Kateřina  Mgr.,65,LES,LES,58,"0,77",-,-
8,LES,12,Matyáš Josef,53,LES,LES,55,"0,73",-,-
8,LES,13,Jonášová Kateřina  Mgr.,39,LES,BEZPP,60,"0,79",-,-
8,LES,14,Uhlíř Martin  Ing. MBA,38,LES,BEZPP,26,"0,34",-,-
8,LES,15,Bujáková Jana,42,LES,LES,27,"0,35",-,-
